-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2025 through 12/30/2025 in UTC
Location: latitude  -0.091   longitude 34.767 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1619.27 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
IMERG_PRECTOT     MERRA-2 Total Precipitation (mm/day) 
RH2M              MERRA-2 Relative Humidity at 2 Meters (%) 
T2M               MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,DOY,IMERG_PRECTOT,RH2M,T2M
2025,1,0.0,72.77,19.77
2025,2,0.0,70.72,19.17
2025,3,0.0,72.89,19.44
2025,4,0.0,73.43,19.93
2025,5,0.0,71.48,19.3
2025,6,0.0,66.57,19.16
2025,7,0.0,66.83,20.09
2025,8,0.0,65.23,20.68
2025,9,0.13,72.78,20.99
2025,10,7.07,78.55,20.99
2025,11,0.04,75.89,20.99
2025,12,3.8,76.5,20.63
2025,13,0.0,68.1,21.0
2025,14,0.0,65.55,19.12
2025,15,0.52,68.17,18.85
2025,16,0.0,68.67,19.0
2025,17,0.0,67.84,19.39
2025,18,0.09,66.8,19.64
2025,19,0.0,66.09,20.72
2025,20,0.0,58.54,20.49
2025,21,0.12,62.54,20.88
2025,22,6.55,65.91,20.78
2025,23,0.0,68.75,20.53
2025,24,0.0,67.93,20.84
2025,25,7.4,70.59,20.81
2025,26,26.73,72.38,20.36
2025,27,8.44,71.49,20.51
2025,28,8.35,77.5,19.81
2025,29,17.33,83.57,19.0
2025,30,0.42,79.14,19.69
2025,31,0.03,70.63,20.99
2025,32,12.85,71.44,21.05
2025,33,0.6,68.55,20.97
2025,34,0.0,62.1,21.29
2025,35,0.0,63.41,20.51
2025,36,0.0,58.12,20.09
2025,37,0.15,65.19,21.25
2025,38,0.05,65.94,22.14
2025,39,0.0,65.61,22.05
2025,40,0.0,61.45,21.91
2025,41,0.08,62.08,22.0
2025,42,0.0,60.41,21.36
2025,43,0.0,64.64,21.75
2025,44,0.0,69.33,21.91
2025,45,2.47,63.43,21.62
2025,46,1.77,64.73,21.87
2025,47,0.0,63.7,22.24
2025,48,0.0,58.47,21.15
2025,49,0.0,56.28,20.45
2025,50,0.0,53.68,20.45
2025,51,0.0,53.28,20.93
2025,52,0.0,52.8,21.06
2025,53,0.0,55.81,20.64
2025,54,0.0,57.79,20.85
2025,55,0.0,59.36,21.36
2025,56,0.0,58.48,21.15
2025,57,0.0,54.53,20.97
2025,58,0.0,51.41,21.17
2025,59,0.0,54.03,21.64
2025,60,0.34,57.23,22.48
2025,61,0.0,55.86,22.48
2025,62,0.0,55.4,22.22
2025,63,0.24,58.95,22.11
2025,64,0.0,58.87,22.35
2025,65,0.0,56.58,22.93
2025,66,0.07,57.21,24.01
2025,67,3.46,64.29,23.69
2025,68,27.11,72.34,22.29
2025,69,5.41,83.29,19.68
2025,70,9.06,73.94,21.43
2025,71,8.45,72.18,21.9
2025,72,0.85,67.82,21.95
2025,73,5.04,61.05,22.6
2025,74,0.58,60.43,22.69
2025,75,7.93,68.28,22.21
2025,76,5.01,74.27,21.86
2025,77,0.5,73.78,21.74
2025,78,26.18,74.61,21.79
2025,79,1.74,79.88,20.96
2025,80,12.94,78.29,21.21
2025,81,2.67,72.35,22.38
2025,82,4.98,70.35,22.74
2025,83,11.71,79.31,21.23
2025,84,9.79,82.37,20.84
2025,85,2.41,79.9,21.03
2025,86,7.68,80.91,20.67
2025,87,13.13,82.38,19.9
2025,88,1.64,81.72,19.7
2025,89,7.68,73.04,21.2
2025,90,2.14,71.4,22.0
2025,91,3.32,70.86,22.24
2025,92,0.0,75.42,21.74
2025,93,0.41,72.65,22.07
2025,94,1.02,81.5,21.06
2025,95,15.91,79.85,20.48
2025,96,26.98,79.36,21.0
2025,97,4.42,76.37,21.28
2025,98,1.17,76.27,21.19
2025,99,8.69,78.13,21.23
2025,100,12.47,74.76,21.16
2025,101,0.06,79.84,20.74
2025,102,17.23,80.21,20.03
2025,103,23.42,86.19,19.38
2025,104,18.85,83.04,19.5
2025,105,45.88,83.94,19.84
2025,106,7.31,82.53,20.3
2025,107,2.33,81.47,20.58
2025,108,2.16,87.09,19.52
2025,109,5.62,80.08,20.22
2025,110,5.28,85.67,19.56
2025,111,2.63,76.23,20.65
2025,112,1.73,78.25,21.13
2025,113,5.61,77.28,21.09
2025,114,0.0,75.26,20.68
2025,115,0.08,73.71,21.28
2025,116,4.54,71.96,21.59
2025,117,0.0,68.07,21.75
2025,118,0.84,67.6,21.85
2025,119,26.12,71.6,22.01
2025,120,20.09,88.89,19.57
2025,121,8.3,78.76,21.25
2025,122,2.35,73.29,21.95
2025,123,4.32,81.88,21.0
