-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2025 through 12/30/2025 in UTC
Location: latitude  -1.063   longitude 34.473 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1346.39 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
IMERG_PRECTOT     MERRA-2 Total Precipitation (mm/day) 
RH2M              MERRA-2 Relative Humidity at 2 Meters (%) 
T2M               MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,DOY,IMERG_PRECTOT,RH2M,T2M
2025,1,0.0,73.05,22.52
2025,2,0.0,66.35,22.56
2025,3,0.0,68.27,22.18
2025,4,0.0,74.29,22.51
2025,5,0.0,69.77,21.89
2025,6,0.0,67.25,22.01
2025,7,0.0,70.03,21.46
2025,8,0.22,65.72,22.97
2025,9,12.52,72.6,22.73
2025,10,11.76,80.94,21.93
2025,11,0.0,79.77,21.45
2025,12,0.6,82.87,21.28
2025,13,0.0,72.42,22.45
2025,14,0.0,61.28,21.6
2025,15,0.27,61.33,22.37
2025,16,0.0,56.59,23.12
2025,17,0.56,61.87,22.7
2025,18,0.0,63.84,22.26
2025,19,0.09,65.05,23.53
2025,20,0.0,67.86,22.81
2025,21,10.56,62.71,22.49
2025,22,19.6,74.83,22.13
2025,23,6.34,71.32,21.78
2025,24,5.5,68.9,22.35
2025,25,1.11,76.02,21.56
2025,26,0.84,80.94,20.6
2025,27,14.19,77.94,20.7
2025,28,0.41,75.94,20.78
2025,29,0.0,80.01,19.81
2025,30,3.35,81.07,19.55
2025,31,21.49,78.15,21.08
2025,32,6.89,80.79,21.27
2025,33,4.84,80.36,21.44
2025,34,3.28,66.29,22.57
2025,35,0.0,64.35,22.99
2025,36,0.17,64.4,22.56
2025,37,0.14,62.21,22.75
2025,38,2.82,71.17,23.91
2025,39,0.0,74.48,22.99
2025,40,0.55,66.65,23.34
2025,41,0.0,61.16,24.71
2025,42,0.0,57.67,25.45
2025,43,0.0,52.07,25.83
2025,44,0.0,63.8,24.64
2025,45,0.0,52.58,26.04
2025,46,7.62,58.09,25.33
2025,47,0.72,61.06,25.14
2025,48,0.0,54.88,25.57
2025,49,0.0,48.68,24.49
2025,50,0.0,52.03,23.97
2025,51,0.0,51.21,23.96
2025,52,0.0,46.73,24.64
2025,53,0.0,43.33,24.17
2025,54,0.0,45.43,24.43
