-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2025 through 12/30/2025 in UTC
Location: latitude  -1.286   longitude 36.817 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1642.2 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
IMERG_PRECTOT     MERRA-2 Total Precipitation (mm/day) 
RH2M              MERRA-2 Relative Humidity at 2 Meters (%) 
T2M               MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,DOY,IMERG_PRECTOT,RH2M,T2M
2025,1,1.89,65.65,20.82
2025,2,1.01,65.82,20.39
2025,3,0.8,66.99,20.28
2025,4,3.8,67.19,20.59
2025,5,0.42,66.77,19.99
2025,6,0.0,56.58,19.71
2025,7,0.0,56.56,20.26
2025,8,5.31,55.65,21.79
2025,9,1.1,65.28,21.38
2025,10,0.82,68.03,21.2
2025,11,0.79,64.81,21.92
2025,12,0.0,62.62,22.43
2025,13,0.2,56.23,22.5
2025,14,0.08,49.89,20.59
2025,15,1.37,56.35,20.12
2025,16,0.0,52.64,20.77
2025,17,3.38,56.37,20.78
2025,18,1.16,56.65,21.97
2025,19,14.44,54.03,22.67
2025,20,1.69,43.33,23.02
2025,21,0.59,45.94,22.63
2025,22,1.68,49.02,22.16
2025,23,0.06,58.46,21.6
2025,24,1.67,53.98,22.2
2025,25,1.52,51.75,22.77
2025,26,28.19,54.97,22.99
2025,27,11.36,60.95,22.21
2025,28,13.31,74.45,20.56
2025,29,6.6,75.22,20.33
2025,30,18.4,77.35,19.91
2025,31,6.53,68.22,20.89
2025,32,0.0,72.3,21.06
2025,33,5.01,67.23,20.92
2025,34,1.96,57.09,21.4
2025,35,0.44,63.04,20.19
2025,36,1.2,58.69,20.1
2025,37,0.83,62.05,21.38
2025,38,0.85,65.69,21.38
2025,39,0.0,58.98,21.74
2025,40,0.0,56.48,22.37
2025,41,0.24,57.68,22.49
2025,42,1.51,58.58,21.59
2025,43,0.9,68.1,21.84
2025,44,0.11,68.65,21.37
2025,45,0.0,58.15,22.01
2025,46,0.79,55.2,22.3
2025,47,0.84,56.99,22.56
2025,48,0.0,51.89,22.15
2025,49,0.0,45.87,22.15
2025,50,0.09,44.89,22.68
2025,51,0.0,42.05,23.08
2025,52,0.25,41.96,22.55
2025,53,0.0,46.65,21.89
2025,54,0.0,52.2,21.9
2025,55,0.0,53.94,22.42
2025,56,0.0,50.5,22.47
2025,57,0.0,44.26,22.82
2025,58,0.0,41.25,22.88
2025,59,0.0,41.45,23.48
2025,60,0.17,49.65,23.88
2025,61,0.65,53.69,23.5
2025,62,0.0,50.53,23.48
2025,63,0.0,50.94,23.39
2025,64,0.0,50.25,23.17
2025,65,0.75,48.66,23.74
2025,66,0.44,54.22,23.76
2025,67,0.99,57.62,24.07
2025,68,14.89,63.33,23.51
2025,69,32.07,71.35,22.11
2025,70,2.36,79.9,20.11
2025,71,4.01,75.09,20.7
2025,72,1.33,65.75,21.56
2025,73,0.0,58.49,22.06
2025,74,0.0,60.09,22.35
2025,75,4.39,62.02,22.73
2025,76,9.5,69.57,21.9
2025,77,1.87,69.98,21.57
2025,78,2.61,72.69,21.45
2025,79,4.14,70.17,21.96
2025,80,3.53,71.54,20.77
2025,81,8.62,68.56,21.58
2025,82,3.25,67.98,22.17
2025,83,1.83,74.27,21.96
2025,84,23.14,74.35,21.69
2025,85,3.74,73.78,21.48
2025,86,4.05,74.71,21.15
2025,87,15.06,79.78,19.38
2025,88,14.97,68.34,20.39
2025,89,1.06,72.49,20.28
2025,90,6.87,70.32,20.7
2025,91,0.4,65.05,21.58
2025,92,1.62,72.92,21.37
2025,93,5.89,72.77,21.07
2025,94,7.73,75.69,20.55
2025,95,7.3,78.41,19.71
2025,96,5.84,75.59,20.17
2025,97,25.51,72.48,20.61
2025,98,6.69,72.12,21.35
2025,99,15.92,69.2,22.38
2025,100,30.74,76.53,20.68
2025,101,5.92,74.39,21.59
2025,102,9.5,76.66,20.77
2025,103,16.05,73.84,20.62
2025,104,8.83,71.6,20.78
2025,105,1.84,70.34,20.98
2025,106,9.98,71.9,20.97
2025,107,1.68,74.3,21.33
2025,108,1.63,72.95,21.32
2025,109,21.17,77.74,20.64
2025,110,20.87,79.39,19.85
2025,111,33.87,75.38,20.67
2025,112,4.96,75.38,20.71
2025,113,7.67,81.98,18.9
2025,114,7.82,80.32,19.07
2025,115,0.0,74.42,19.92
2025,116,6.62,75.29,20.64
2025,117,0.2,74.16,20.74
2025,118,7.98,73.46,20.78
2025,119,1.61,75.69,21.52
2025,120,6.12,77.77,19.68
2025,121,0.77,69.29,21.22
2025,122,7.13,74.11,21.24
2025,123,2.36,71.23,21.87
2025,124,0.82,76.98,20.75
2025,125,7.52,78.28,19.89
2025,126,7.98,81.19,19.01
2025,127,5.06,76.12,19.18
2025,128,3.57,76.67,19.44
2025,129,9.03,75.84,20.07
2025,130,3.04,73.71,20.64
2025,131,22.01,74.86,20.65
2025,132,6.79,77.85,19.54
2025,133,9.14,75.73,19.29
2025,134,5.11,69.03,19.21
2025,135,0.34,68.21,19.78
2025,136,17.86,68.65,20.23
2025,137,0.2,72.4,20.26
2025,138,0.61,73.85,20.51
2025,139,4.68,74.35,20.32
2025,140,2.77,70.83,20.87
2025,141,4.77,68.45,21.46
2025,142,0.59,69.75,20.86
2025,143,1.97,73.75,20.18
2025,144,0.97,71.86,20.02
2025,145,6.47,72.37,19.24
2025,146,0.0,71.71,19.81
2025,147,0.26,74.92,20.13
2025,148,3.71,69.1,20.32
2025,149,0.16,71.14,20.0
2025,150,11.18,62.5,19.5
2025,151,1.44,59.15,18.94
2025,152,1.79,65.78,20.04
2025,153,4.19,68.17,20.27
2025,154,2.66,67.45,19.92
2025,155,11.6,62.41,20.47
2025,156,4.3,70.98,19.73
2025,157,0.7,70.96,19.66
2025,158,2.46,65.94,19.79
2025,159,0.52,68.78,20.21
2025,160,0.57,69.35,19.78
2025,161,0.46,58.36,19.75
2025,162,1.07,65.48,20.21
2025,163,2.17,64.51,20.23
2025,164,1.93,56.91,19.16
2025,165,0.0,62.59,19.39
2025,166,1.43,61.48,18.72
2025,167,0.71,66.12,18.79
2025,168,0.0,69.71,18.83
2025,169,0.0,62.96,20.08
2025,170,16.85,69.46,19.29
2025,171,14.19,69.75,19.84
2025,172,1.71,72.54,19.85
2025,173,0.0,71.67,20.15
2025,174,0.0,71.13,19.27
2025,175,0.06,54.64,19.38
2025,176,0.33,65.36,19.73
2025,177,0.0,69.08,20.57
2025,178,0.59,68.12,21.01
2025,179,0.0,73.19,19.37
2025,180,0.0,67.28,18.27
2025,181,4.27,64.96,18.34
2025,182,0.0,60.14,19.23
2025,183,0.0,60.93,20.02
2025,184,25.41,67.16,19.53
2025,185,0.0,68.02,18.89
2025,186,0.0,70.45,18.51
2025,187,0.0,68.89,19.6
2025,188,0.0,71.87,19.59
2025,189,4.87,71.27,19.3
2025,190,0.0,71.74,17.43
2025,191,11.65,66.27,18.41
2025,192,0.53,69.21,18.21
2025,193,1.36,64.23,19.29
2025,194,3.84,66.03,19.25
2025,195,0.0,66.79,19.34
2025,196,7.97,62.32,19.81
2025,197,0.0,64.62,19.8
2025,198,8.31,63.34,20.27
2025,199,1.87,62.59,20.64
2025,200,4.76,68.77,18.75
2025,201,2.08,63.79,19.24
2025,202,4.36,65.09,18.97
2025,203,0.0,68.26,18.72
2025,204,0.0,67.72,19.01
2025,205,0.0,59.69,19.84
2025,206,0.44,59.68,19.53
2025,207,1.42,55.72,19.97
2025,208,0.25,51.26,20.28
2025,209,0.16,56.96,19.59
2025,210,0.0,54.49,19.11
2025,211,0.0,57.13,18.75
2025,212,0.12,58.91,19.26
2025,213,0.11,68.72,18.94
2025,214,1.52,77.07,18.22
2025,215,0.09,73.73,17.58
2025,216,5.85,66.09,17.53
2025,217,0.68,65.78,17.73
2025,218,1.24,70.5,17.59
2025,219,0.0,72.91,19.05
2025,220,1.7,77.65,18.0
2025,221,1.2,78.56,16.4
2025,222,1.59,71.85,18.4
2025,223,1.37,76.08,17.56
2025,224,0.0,71.03,17.71
2025,225,0.12,63.52,18.51
2025,226,7.3,62.7,18.8
2025,227,0.0,73.08,18.87
2025,228,7.37,75.12,18.78
2025,229,4.62,76.79,18.49
2025,230,1.46,79.07,17.53
2025,231,0.44,78.73,17.06
2025,232,2.47,72.8,16.93
2025,233,1.23,74.86,17.45
2025,234,1.19,75.49,17.26
2025,235,0.0,74.64,17.08
