precision,recall,f1-score,support,Model,Metric_Type
0.771,0.72,0.745,8064.0,Negative Binomial,0
0.59,0.652,0.619,4968.0,Negative Binomial,1
0.694,0.694,0.694,0.694,Negative Binomial,accuracy
0.68,0.686,0.682,13032.0,Negative Binomial,macro avg
0.702,0.694,0.697,13032.0,Negative Binomial,weighted avg
0.765,0.65,0.703,8064.0,Decision Tree,0
0.544,0.676,0.602,4968.0,Decision Tree,1
0.66,0.66,0.66,0.66,Decision Tree,accuracy
0.654,0.663,0.653,13032.0,Decision Tree,macro avg
0.681,0.66,0.665,13032.0,Decision Tree,weighted avg
0.766,0.738,0.752,8064.0,Random Forest,0
0.598,0.634,0.615,4968.0,Random Forest,1
0.698,0.698,0.698,0.698,Random Forest,accuracy
0.682,0.686,0.683,13032.0,Random Forest,macro avg
0.702,0.698,0.7,13032.0,Random Forest,weighted avg
0.879,0.426,0.574,8064.0,K-CEWS (Optimized XGBoost),0
0.493,0.905,0.638,4968.0,K-CEWS (Optimized XGBoost),1
0.608,0.608,0.608,0.608,K-CEWS (Optimized XGBoost),accuracy
0.686,0.665,0.606,13032.0,K-CEWS (Optimized XGBoost),macro avg
0.732,0.608,0.598,13032.0,K-CEWS (Optimized XGBoost),weighted avg
